,Tweet,target,tokenized_tweet,cleaned_tweet
0,mealem bourjilia illi yefehmouch yelzmou yaqra kh bac,1,mealem bourjilia illi yefehmouch yelzmou yaqra kh bac,"['mealem', 'bourjilia', 'illi', 'yefehmouch', 'yelzmou', 'yaqra', 'kh', 'bac']"
1,Ya mealllam,1,ya mealllam,"['ya', 'mealllam']"
2,Mahlek! Zin fannena hloua.,1,mahlek zin fannena hloua,"['mahlek', 'zin', 'fannena', 'hloua']"
3,hhhhh bliiiiiiiida Hanen,-1,hhhhh bliiiiiiiida hanen,"['hhhhh', 'bliiiiiiiida', 'hanen']"
4,Nikraha makhyebha pffff,-1,nikraha makhyebha pffff,"['nikraha', 'makhyebha', 'pffff']"
5,esal denya :*,1,esal denya,"['esal', 'denya']"
6,جلول يعطيك ألف صحة ربي يبارك فيك وكأنك شرهة شباب باش يزيد يقرأ,1,جلول يعطيك ألف صحة ربي يبارك فيك وكأنك شرهة شباب باش يزيد يقرأ,"['جلول', 'يعطيك', 'ألف', 'صحة', 'ربي', 'يبارك', 'فيك', 'وكأنك', 'شرهة', 'شباب', 'باش', 'يزيد', 'يقرأ']"
7,Ya mama mali masta lasta :p :p,-1,ya mama mali masta lasta,"['ya', 'mama', 'mali', 'masta', 'lasta']"
8,Bravo Neji jelloul,1,bravo neji jelloul,"['bravo', 'neji', 'jelloul']"
9,نسحو يفهم شيء,1,نسحو يفهم شيء,"['نسحو', 'يفهم', 'شيء']"
10,Rak taaafeh wkan tnaber beeef,-1,rak taaafeh wkan tnaber beeef,"['rak', 'taaafeh', 'wkan', 'tnaber', 'beeef']"
11,Weld asel metrobi,1,weld asel metrobi,"['weld', 'asel', 'metrobi']"
12,Dima classe kemla mahlek,1,dima classe kemla mahlek,"['dima', 'classe', 'kemla', 'mahlek']"
13,mahléhom <e,1,mahl hom,"['mahl', 'hom']"
14,Berrasmi khiit lotfi,-1,berrasmi khiit lotfi,"['berrasmi', 'khiit', 'lotfi']"
15,mella marek krahnekom,-1,mella marek krahnekom,"['mella', 'marek', 'krahnekom']"
16,برافو توفيق بردت برشة قلوب,1,برافو توفيق بردت برشة قلوب,"['برافو', 'توفيق', 'بردت', 'برشة', 'قلوب']"
17,أحلى صافي سعيد,1,أحلى صافي سعيد,"['أحلى', 'صافي', 'سعيد']"
18,احترم الرجل لغدوة,1,احترم الرجل لغدوة,"['احترم', 'الرجل', 'لغدوة']"
19,امين عجبني كوستيمك يااااسر مزيان 😍,-1,امين عجبني كوستيمك يااااسر مزيان,"['امين', 'عجبني', 'كوستيمك', 'ياااسر', 'مزيان']"
20,وليد التونسي راجل ولد راجل تونسي جد,1,وليد التونسي راجل ولد راجل تونسي جد,"['وليد', 'التونسي', 'راجل', 'ولد', 'راجل', 'تونسي', 'جد']"
22,لطفي العبدلي فنان كبير برشة برشة,1,لطفي العبدلي فنان كبير برشة برشة,"['لطفي', 'العبدلي', 'فنان', 'كبير', 'برشة', 'برشة']"
23,"Mash'Allah eliha , rabbi ysoun yberik :*",1,mash ' allah eliha rabbi ysoun yberik,"['mash', ""'"", 'allah', 'eliha', 'rabbi', 'ysoun', 'yberik']"
24,تعجبني هاجر زعما نلقى وحد كيفها تعيش معايا الجزائر,1,تعجبني هاجر زعما نلقى وحد كيفها تعيش معايا الجزائر,"['تعجبني', 'هاجر', 'زعما', 'نلقى', 'وحد', 'كيفها', 'تعيش', 'معايا', 'الجزائر']"
25,ياسر محلاها أناقة ثقافة رجولة,1,ياسر محلاها أناقة ثقافة رجولة,"['ياسر', 'محلاها', 'أناقة', 'ثقافة', 'رجولة']"
26,naji jaloul,1,naji jaloul,"['naji', 'jaloul']"
27,thaelouba majet chy eamla fiha qafza,-1,thaelouba majet chy eamla fiha qafza,"['thaelouba', 'majet', 'chy', 'eamla', 'fiha', 'qafza']"
28,Moufida salbiya masta lasta 😠😠😠,-1,moufida salbiya masta lasta,"['moufida', 'salbiya', 'masta', 'lasta']"
30,العربي الماسط مرجتونا بيه,-1,العربي الماسط مرجتونا بيه,"['العربي', 'الماسط', 'مرجتونا', 'بيه']"
31,Mamstek semi ken belek suspense rahou maset barcha,-1,mamstek semi ken belek suspense rahou maset barcha,"['mamstek', 'semi', 'ken', 'belek', 'suspense', 'rahou', 'maset', 'barcha']"
32,yaser masta kan mchet thqfet rouha khire,-1,yaser masta kan mchet thqfet rouha khire,"['yaser', 'masta', 'kan', 'mchet', 'thqfet', 'rouha', 'khire']"
33,اقمار رمضان...ربى يهديكم,-1,اقمار رمضان ربى يهديكم,"['اقمار', 'رمضان', 'ربى', 'يهديكم']"
