,Tweet,target,tokenized_tweet,cleaned_tweet
0,"""نصيحه عمرك اتنزل لعبة سوبر ماريو مش كنّا متوقعين الله يرحم ايامات السيقا والفاميلي #SuperMarioRun""",-1,نصيحه عمرك اتنزل لعبة سوبر ماريو مش كن متوقعين الله يرحم ايامات السيقا والفاميلي,"['نصيحه', 'عمرك', 'اتنزل', 'لعبة', 'سوبر', 'ماريو', 'مش', 'كن', 'متوقعين', 'الله', 'يرحم', 'ايامات', 'السيقا', 'والفاميلي']"
1,"""#نادين_نسيب_نجيم ❤️❤️❤️مجلة #ماري_كلير 💭#ملكة_الصحراء 👑https://t.co/fVtnghouiqTUS@nadinenjeim @MarieClaire_AR""",1,نادين نسيب نجيم مجلة ماري كلير ملكة الصحراء,"['نادين', 'نسيب', 'نجيم', 'مجلة', 'ماري', 'كلير', 'ملكة', 'الصحراء']"
2,"""@Alito_NBA اتوقع بيستمر""",1,اتوقع بيستمر,"['اتوقع', 'بيستمر']"
3,"""@KSAagh يعني ""بموافقتنا"" لأن دمشق صايرة موسكو""",-1,يعني بموافقتنا لأن دمشق صايرة موسكو,"['يعني', 'بموافقتنا', 'لأن', 'دمشق', 'صايرة', 'موسكو']"
4,"""RT @alaahmada0: قائد الحرس يعترف بفقدان السيطرة الأمنية شرقي وغربي إيران أحوازنا#الأحواز #السعودية @abo_asseel @spagov https:/…""",-1,قائد الحرس يعترف بفقدان السيطرة الأمنية شرقي وغربي إيران أحوازنا الأحواز السعودية,"['قائد', 'الحرس', 'يعترف', 'بفقدان', 'السيطرة', 'الأمنية', 'شرقي', 'وغربي', 'إيران', 'أحوازنا', 'الأحواز', 'السعودية']"
5,شوال الفلوس سويرس مشغول اوى اليومين دول بقناة الجزيرة ونازل شتيمة وتريقه وفى ضيوفها خدك بيوجعك اوى ياشوال,-1,شوال الفلوس سويرس مشغول اوى اليومين دول بقناة الجزيرة ونازل شتيمة وتريقه وفى ضيوفها خدك بيوجعك اوى ياشوال,"['شوال', 'الفلوس', 'سويرس', 'مشغول', 'اوى', 'اليومين', 'دول', 'بقناة', 'الجزيرة', 'ونازل', 'شتيمة', 'وتريقه', 'وفى', 'ضيوفها', 'خدك', 'بيوجعك', 'اوى', 'ياشوال']"
6,"""الأمين العام للأمم المتحدة: بشار الأسد قتل e00 ألف سوريا https://t.co/KMXrqNovgE""",-1,الأمين العام للأمم المتحدة بشار الأسد قتل ألف سوريا,"['الأمين', 'العام', 'للأمم', 'المتحدة', 'بشار', 'الأسد', 'قتل', 'ألف', 'سوريا']"
7,"حسبنا الله ونعم الوكيل "" #انتخبوا_العرص #بيقولك_أعرف_بلدك #الحرية_للجدعان ناس عا…",1,حسبنا الله ونعم الوكيل انتخبوا العرص بيقولك أعرف بلدك الحرية للجدعان ناس عا,"['حسبنا', 'الله', 'ونعم', 'الوكيل', 'انتخبوا', 'العرص', 'بيقولك', 'أعرف', 'بلدك', 'الحرية', 'للجدعان', 'ناس', 'عا']"
8,"""RT @isharatidriss: ٣٠)#امريكا_ومحاربة_الارهاب صنعتة لمواصلة الكيد والحقد يملاء قلوب دول الكفر الاسلام والمسلمين( ايها الذي…""",-1,٣٠ امريكا ومحاربة الارهاب صنعتة لمواصلة الكيد والحقد يملاء قلوب دول الكفر الاسلام والمسلمين ايها الذي,"['٣٠', 'امريكا', 'ومحاربة', 'الارهاب', 'صنعتة', 'لمواصلة', 'الكيد', 'والحقد', 'يملاء', 'قلوب', 'دول', 'الكفر', 'الاسلام', 'والمسلمين', 'ايها', 'الذي']"
9,"""رئيس لجنة الحكام رضا البلتاجى يفتح النار #عمرو_أديب https://t.co/aPYLdCqvtp""",-1,رئيس لجنة الحكام رضا البلتاجى يفتح النار عمرو أديب,"['رئيس', 'لجنة', 'الحكام', 'رضا', 'البلتاجى', 'يفتح', 'النار', 'عمرو', 'أديب']"
